,code,2nd_code,std_price,name
250,A004720,1,10500,팜젠사이언스
251,A004770,1,3530,써니전자
252,A004800,1,123000,효성
253,A004830,1,17500,덕성
254,A004835,1,21850,덕성우
255,A004840,1,6780,DRB동일
256,A004870,1,1410,티웨이홀딩스
257,A004890,1,117500,동일산업
258,A004910,1,8280,조광페인트
259,A004920,1,980,씨아이테크
260,A004960,1,22600,한신공영
261,A004970,1,12750,신라교역
262,A004980,1,11500,성신양회
263,A004985,1,15750,성신양회우
264,A004990,1,34750,롯데지주
265,A00499K,1,53800,롯데지주우
266,A005010,1,17800,휴스틸
267,A005030,1,743,부산주공
268,A005070,1,47700,코스모신소재
269,A005090,1,51600,SGC에너지
270,A005110,1,1250,한창
271,A005180,1,57000,빙그레
272,A005250,1,32950,녹십자홀딩스
273,A005257,1,77000,녹십자홀딩스2우
274,A005300,1,149000,롯데칠성
275,A005305,1,77200,롯데칠성우
276,A005320,1,2695,국동
277,A005360,1,5000,모나미
278,A005380,1,209000,현대차
279,A005385,1,99600,현대차우
280,A005387,1,97500,현대차2우B
281,A005389,1,93700,현대차3우B
282,A005390,1,3945,신성통상
283,A005420,1,18950,코스모화학
284,A005430,1,50800,한국공항
285,A005440,1,9800,현대그린푸드
286,A005490,1,362500,POSCO
287,A005500,1,25750,삼진제약
288,A005610,1,80300,SPC삼립
289,A005680,1,12850,삼영전자
290,A005690,1,15600,파미셀
291,A005720,1,5080,넥센
292,A005725,1,3730,넥센우
293,A005740,1,9260,크라운해태홀딩스
294,A005745,1,15300,크라운해태홀딩스우
295,A005750,1,7930,대림B&Co
296,A005800,1,122000,신영와코루
297,A005810,1,30900,풍산홀딩스
298,A005820,1,22500,원림
299,A005830,1,60800,DB손해보험
300,A005850,1,27600,에스엘
301,A005870,1,8490,휴니드
302,A005880,1,2950,대한해운
303,A005930,1,77200,삼성전자
304,A005935,1,71800,삼성전자우
305,A005940,1,13400,NH투자증권
306,A005945,1,12500,NH투자증권우
307,A005950,1,17650,이수화학
308,A005960,1,14800,동부건설
309,A005965,1,53000,동부건설우
310,A006040,1,237500,동원산업
311,A006060,1,7280,화승인더
312,A006090,1,10950,사조오양
313,A006110,1,32500,삼아알미늄
314,A006120,1,50400,SK디스커버리
315,A006125,1,41550,SK디스커버리우
316,A006200,1,1420,한국전자홀딩스
317,A006220,1,6420,제주은행
318,A006260,1,67400,LS
319,A006280,1,358500,녹십자
320,A006340,1,2065,대원전선
321,A006345,1,3660,대원전선우
322,A006360,1,46150,GS건설
323,A006370,1,11400,대구백화점
324,A006380,1,5150,카프로
325,A006390,1,33600,한일현대시멘트
326,A006400,1,725000,삼성SDI
327,A006405,1,400500,삼성SDI우
328,A006490,1,5690,인스코비
329,A006570,1,3900,대림통상
330,A006650,1,243500,대한유화
331,A006660,1,19900,삼성공조
332,A006740,1,7190,영풍제지
333,A006800,1,9080,미래에셋증권
334,A006805,1,6050,미래에셋증권우
335,A00680K,1,4870,미래에셋증권2우B
336,A006840,1,27100,AK홀딩스
